State,Population_2018
.Arizona,7158024.0
.Arkansas,3009733.0
.California,39461588.0
.Colorado,5691287.0
.Connecticut,3571520.0
.Delaware,965479.0
.District of Columbia,701547.0
.Florida,21244317.0
.Georgia,10511131.0
.Hawaii,1420593.0
.Idaho,1750536.0
.Illinois,12723071.0
.Indiana,6695497.0
.Iowa,3148618.0
.Kansas,2911359.0
.Kentucky,4461153.0
.Louisiana,4659690.0
.Maine,1339057.0
.Maryland,6035802.0
.Massachusetts,6882635.0
.Michigan,9984072.0
.Minnesota,5606249.0
.Mississippi,2981020.0
.Missouri,6121623.0
.Montana,1060665.0
.Nebraska,1925614.0
.Nevada,3027341.0
.New Hampshire,1353465.0
.New Jersey,8886025.0
.New Mexico,2092741.0
.New York,19530351.0
.North Carolina,10381615.0
.North Dakota,758080.0
.Ohio,11676341.0
.Oklahoma,3940235.0
.Oregon,4181886.0
.Pennsylvania,12800922.0
.Rhode Island,1058287.0
.South Carolina,5084156.0
.South Dakota,878698.0
.Tennessee,6771631.0
.Texas,28628666.0
.Utah,3153550.0
.Vermont,624358.0
.Virginia,8501286.0
.Washington,7523869.0
.West Virginia,1804291.0
.Wisconsin,5807406.0
.Wyoming,577601.0
,
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. See Geographic Terms and Definitions at http://www.census.gov/programs-surveys/popest/guidance-geographies/terms-and-definitions.html for a list of the states that are included in each region.  All geographic boundaries for the 2019 population estimates series except statistical area delineations are as of January 1, 2019.  For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",
Suggested Citation:,
"Source: U.S. Census Bureau, Population Division",
Release Date: December 2019,
